Ticker,Year,ESG Score,E Score,S Score,G Score,ESG Grade,E Grade,S Grade,G Grade,Company Name,Accumulated Other Comprehensive Income (Loss),Assets - Other,Accum Other Comp Inc - Other Adjustments,Accum Other Comp Inc - Unreal G/L Ret Int in Sec Assets,Assets and Liabilities - Other - Net Change,Accounts Payable - Trade,Assets - Total,Book Value Per Share,Capital Surplus/Share Premium Reserve,Capital Expenditures,Common/Ordinary Equity - Total,Common Equity - Liquidation Value,Common Equity - Tangible,Cash and Short-Term Investments,Cash and Cash Equivalents - Increase/(Decrease),Comprehensive Income - Total,Comp Inc - Beginning Net Income,Comprehensive Income - Noncontrolling Interest,Comp Inc - Other Adj,Comp Inc - Minimum Pension Adj,Comprehensive Income - Parent,Cost of Goods Sold,Common Shares Used to Calc Earnings Per Share - Fully Diluted,Common Shares Issued,Common Shares Outstanding,Common Shares Used to Calculate Earnings Per Share - Basic,Common/Ordinary Shareholders,Common/Ordinary Stock (Capital),Common Stock-Carrying Value,Common Stock Equivalents - Dollar Savings,Dilution Adjustment,Dilution Available - Excluding Extraordinary Items,Debt in Current Liabilities - Total,Long-Term Debt - Issuance,Long-Term Debt - Reduction,Long-Term Debt - Total,Discontinued Operations,Cash Dividends (Cash Flow),Dividends Common/Ordinary,Dividends - Preferred/Preference,Dividends - Total,Earnings Before Interest and Taxes,Employees,Earnings Per Share (Diluted) - Including Extraordinary Items,Earnings Per Share (Diluted) - Excluding Extraordinary Items,Earnings Per Share (Basic) - Including Extraordinary Items,Earnings Per Share (Basic) - Excluding Extraordinary Items,Common ESOP Obligation - Total,Preferred ESOP Obligation - Total,Exchange Rate Effect,Financing Activities - Other,Financing Activities - Net Cash Flow,Funds from Operations - Other,Gross Profit (Loss),Income Before Extraordinary Items,Income Before Extraordinary Items - Adjusted for Common Stock Equivalents,Income Before Extraordinary Items (Cash Flow),Income Before Extraordinary Items - Available for Common,Invested Capital - Total,Investing Activities - Other,Investing Activities - Net Cash Flow,Liabilities - Other - Total,Liabilities and Stockholders Equity - Total,Liabilities - Total,Noncontrolling Interest (Balance Sheet),Net Income (Loss),Net Income Adjusted for Common/Ordinary Stock (Capital) Equivalents,Nonoperating Income (Expense),Notes Payable - Short-Term Borrowings,Operating Activities - Net Cash Flow,Operating Income After Depreciation,Earnings Per Share from Operations,Earnings Per Share - Diluted - from Operations,Pretax Income,Nonred Pfd Shares Outs (000),Redeem Pfd Shares Outs (000),Preferred/Preference Stock (Capital) - Total,Preferred Stock - Liquidating Value,Preferred/Preference Stock - Nonredeemable,Preferred/Preference Stock - Redeemable,Preferred Stock - Redemption Value,Retained Earnings,Receivables - Total,Revenue - Total,Sales/Turnover (Net),Stockholders Equity - Parent,Special Items,Stock Compensation Expense,Stockholders Equity - Total,Treasury Stock - Total (All Capital),Treasury Stock - Common,Treasury Stock - Number of Common Shares,Treasury Stock - Preferrred,Excess Tax Benefit of Stock Options - Cash Flow Financing,Net Deferred Tax Asset (Liab) - Total,Income Taxes Paid,Income Taxes - Total,Extraordinary Items and Discontinued Operations,Extraordinary Items and Discontinued Operations (Cash Flow),Operating Expenses - Total,Stock Exchange Code,North America Industrial Classification System - Historical,Standard Industrial Classification - Historical,Common Shares Traded - Annual - Calendar,Dividends per Share - Pay Date - Calendar,Dividends per Share - Ex-Date - Calendar,Price Close - Annual - Calendar,Price High - Annual - Calendar,Price Low - Annual - Calendar,Cumulative Adjustment Factor by Ex-Date - Calendar,Common Shares Traded - Annual - Fiscal,Dividends per Share - Pay Date - Fiscal,Dividends per Share - Ex-Date - Fiscal,Price Close - Annual - Fiscal,Price High - Annual - Fiscal,Price Low - Annual - Fiscal,GIC Groups,GIC Industries,GIC Sectors,GIC Sub-Industries,North American Industry Classification Code
AMAT,2015,64.66959548,72.27766784,52.13554464,76.22109254,B,B+,B-,A-,APPLIED MATERIALS INC,-92,145,0,0,-151,658,15308,6.5629,6575,215,7613,7613,3549,4965,1795,1361,1377,0,0,0,1361,5326,1226,1953,1160,1214,3.247,11,0.0056,0,0,1377,1200,2581,0,3342,0,487,482,0,482,1692,15.5,1.12,1.12,1.13,1.13,0,0,0,88,913,184,4333,1377,1377,1377,1377,10955,0,-281,499,15308,7695,0,1377,1377,116,800,1163,1692,1.17,1.16,1598,0,0,0,0,0,0,0,13875,1739,9659,9659,7613,-107,187,7613,12848,12848,793,0,56,402,395,221,0,0,7596,14,333242,3559,4291919801,0.4,0.4,18.67,25.64,14.25,1,4257541548,0.4,0.4,16.77,25.71,14.25,4530,453010,45,45301010,3559
AMAT,2016,69.55522694,69.35209725,68.02515786,72.32359656,B+,B+,B+,B+,APPLIED MATERIALS INC,-115,478,0,0,597,813,14588,6.6948,6809,253,7217,7217,3326,3749,-1391,1698,1721,0,0,-36,1698,5949,1116,1967,1078,1107,3.062,11,0.0056,0,0,1721,200,0,1207,3143,0,444,436,0,436,2159,16.7,1.54,1.54,1.56,1.56,0,0,0,88,-3432,216,4876,1721,1721,1721,1721,10360,0,-425,595,14588,7371,0,1721,1721,21,200,2466,2159,1.56,1.55,2013,0,0,0,0,0,0,0,15137,2279,10825,10825,7217,-12,201,7217,14740,14740,889,0,23,371,44,292,0,0,8277,14,333242,3559,3240303236,0.4,0.4,32.27,33.68,15.44,1,3303270100,0.4,0.4,29.08,31.07,15.44,4530,453010,45,45301010,3559
AMAT,2017,73.37818452,71.59417828,71.65890931,78.35579611,B+,B+,B+,A-,APPLIED MATERIALS INC,-64,512,0,0,173,945,19419,8.8198,7056,345,9349,9349,5569,7276,1604,3485,3434,0,0,21,3485,7618,1084,1977,1060,1073,2.898,11,0.0056,0,0,3434,0,2176,205,5304,0,430,428,0,428,3871,18.4,3.17,3.17,3.2,3.2,0,0,0,0,521,156,6919,3434,3434,3434,3434,14653,0,-2526,646,19419,10070,0,3434,3434,66,0,3609,3871,3.21,3.17,3731,0,0,0,0,0,0,0,18194,2338,14537,14537,9349,-8,220,9349,15912,15912,917,0,55,380,133,297,0,0,10259,14,333242,3559,2519129063,0.4,0.4,51.12,60.89,31.66,1,2508486953,0.4,0.4,56.43,56.82,28.02,4530,453010,45,45301010,3559
AMAT,2018,80.27364814,78.96245827,78.17677126,85.30692285,A-,A-,A-,A,APPLIED MATERIALS INC,-125,470,0,0,-386,996,17773,7.0724,7274,622,6839,6839,3258,4030,-1570,3249,3313,0,0,-17,3249,8998,1026,1986,967,1013,2.854,10,0.0056,0,0,3313,0,0,0,5309,0,605,694,0,694,4801,21,3.23,3.23,3.27,3.27,0,0,0,0,-5928,262,8255,3313,3313,3313,3313,12148,0,571,1545,17773,10934,0,3313,3313,132,0,3787,4801,4.37,4.31,4694,0,0,0,0,0,0,0,20749,2565,17253,17253,6839,-5,258,6839,21194,21194,1019,0,0,210,237,1381,0,0,11995,14,333242,3559,3386180870,0.7,0.7,32.74,62.4,28.79,1,3333586256,0.6,0.6,32.88,62.4,30.53,4530,453010,45,45301010,3559
AMAT,2019,79.03986073,78.72173929,76.04659024,84.36050276,A-,A-,A-,A,APPLIED MATERIALS INC,-180,2031,0,0,47,958,19024,8.9672,7595,441,8214,8214,4659,3618,-311,2668,2706,0,0,-51,2668,7859,945,1995,916,937,2.859,9,0.0045,0,0,2706,600,0,0,4713,0,771,770,0,770,3372,22,2.86,2.86,2.89,2.89,0,0,0,0,-3115,244,6749,2706,2706,2706,2706,12927,0,-443,1639,19024,10810,0,2706,2706,156,0,3247,3372,2.88,2.85,3269,0,0,0,0,0,0,0,24206,2641,14608,14608,8214,-22,263,8214,23596,23596,1079,0,0,1755,500,563,0,0,10873,14,333242,3559,2251688434,0.83,0.83,61.04,63.07,31.48,1,2478645977,0.82,0.82,54.26,57.29,28.79,4530,453010,45,45301010,3559
AMAT,2020,80.28891098,79.53116167,77.14843895,86.37998902,A-,A-,A-,A,APPLIED MATERIALS INC,-299,1971,0,0,-107,1124,22353,11.5733,7904,422,10578,10578,6959,5738,2337,3500,3619,0,0,-11,3500,9130,923,2005,914,916,2.86,9,0.0045,0,0,3619,64,2979,2882,5643,0,787,796,0,796,4475,24,3.92,3.92,3.95,3.95,0,0,0,0,-1337,367,8072,3619,3619,3619,3619,16221,0,-130,1664,22353,11775,0,3619,3619,41,0,3804,4475,4.08,4.05,4166,0,0,0,0,0,0,0,26910,3111,17202,17202,10578,-143,307,10578,24245,24245,1091,0,0,1702,474,547,0,0,12351,14,333242,3559,2092037314,0.87,0.87,86.3,90.605,36.64,1,2090638217,0.86,0.86,59.23,69.9,36.64,4530,453010,45,45301010,3559
AMAT,2021,80.49514046,82.45219709,73.61071528,89.50597405,A-,A-,B+,A,APPLIED MATERIALS INC,-260,1852,0,0,189,1472,25825,13.7298,8247,668,12247,12247,8664,5459,-365,5927,5888,0,0,30,5927,11763,919,2011,892,910,2.833,9,0.0045,0,0,5888,73,0,0,5680,0,838,851,0,851,7269,27,6.4,6.4,6.47,6.47,0,0,0,0,-4591,424,11300,5888,5888,5888,5888,17927,0,-1216,1546,25825,13578,0,5888,5888,118,0,5442,7269,6.85,6.76,6771,0,0,0,0,0,0,0,31986,5154,23063,23063,12247,-380,346,12247,27995,27995,1119,0,0,1615,824,883,0,0,15400,14,333242,3559,2044153775,0.94,0.94,157.36,163.02,86.15,1,2032378844,0.92,0.92,136.65,146,59.53,4530,453010,45,45301010,3559
ADM,2014,54.60019012,49.59680121,46.58994188,73.94384681,B-,C+,C+,B+,ARCHER-DANIELS-MIDLAND CO,-1241,379,0,0,561,10200,44027,30.73,0,894,19575,19575,16292,6491,-2022,1068,2253,4,0,-300,1064,75556,656,716.4,637,653,11.292,7815,10.909,0,0,2248,132,1,1251,5558,0,624,624,0,624,2959,33.9,3.43,3.43,3.44,3.44,0,0,0,-62,-3577,-171,5645,2248,2248,2253,2248,25188,350,-3407,1575,44027,24397,0,2248,2248,397,108,4962,2959,3.31,3.29,3130,0,0,0,0,0,0,0,14460,4638,81201,81201,19575,129,55,19630,2700,2700,79.4,0,0,-1455,720,877,0,0,77365,11,31122,2070,897881197,0.96,0.96,52,53.91,37.92,1,897881197,0.96,0.96,52,53.91,37.92,3020,302020,30,30202010,2070
ADM,2015,51.57392946,51.63372507,43.87396695,64.8119784,B-,B-,C+,B,ARCHER-DANIELS-MIDLAND CO,-2146,447,0,0,-1536,10178,40157,30.0824,0,1125,17899,17899,14211,6562,-189,940,1846,-4,0,107,944,62808,621,715.8,595,618,10.742,7880,11.009,0,0,1849,98,1252,994,5779,0,687,687,0,687,2010,32.3,2.98,2.98,2.99,2.99,0,0,0,-162,-2649,-439,4894,1849,1849,1846,1849,23694,1548,-21,1395,40157,22242,0,1849,1849,455,86,2481,2010,2.81,2.78,2284,0,0,0,0,0,0,0,14719,4660,67702,67702,17899,138,79,17915,4700,4700,120.8,0,0,-1378,602,438,0,0,64818,11,31122,2070,995644798,1.12,1.12,36.68,53.31,33.84,1,995644798,1.12,1.12,36.68,53.31,33.84,3020,302020,30,30202010,2070
ADM,2016,55.1718231,53.98265767,46.35113104,71.72010081,B-,B-,C+,B+,ARCHER-DANIELS-MIDLAND CO,-2598,579,0,0,229,9616,39769,29.9703,0,882,17173,17173,13470,5926,-315,835,1288,8,0,2,827,57762,591,716.2,573,588,10.381,7827,10.929,0,0,1279,427,1041,14,6504,0,701,701,0,701,1663,31.8,2.16,2.16,2.18,2.18,0,0,0,34,-579,-123,4584,1279,1279,1288,1279,23709,205,-1211,1218,39769,22564,24,1279,1279,419,154,1475,1663,2.08,2.08,1822,0,0,0,0,0,0,0,14846,4405,62346,62346,17173,53,74,17181,5500,5500,143.2,0,0,-1511,398,534,0,0,59783,11,31122,2070,901179196,1.2,1.2,45.65,47.88,29.86,1,901179196,1.2,1.2,45.65,47.88,29.86,3020,302020,30,30202010,2070
ADM,2017,78.49418416,76.57247364,74.72808612,87.12680172,A-,A-,B+,A,ARCHER-DANIELS-MIDLAND CO,-1637,802,0,0,380,9246,39963,32.8779,0,1049,18313,18313,14395,5630,297,2565,1602,9,0,200,2556,56398,572,715.7,557,569,9.944,7898,11.035,0,0,1595,870,532,835,6623,0,730,730,0,730,1513,31.3,2.79,2.79,2.8,2.8,0,0,0,70,-1028,293,4430,1595,1595,1602,1595,24998,183,-886,1342,39963,21588,53,1595,1595,567,857,2211,1513,2.28,2.28,1609,0,0,0,0,0,0,0,15915,3762,60828,60828,18313,-124,66,18322,5500,5500,158.7,0,0,-866,538,7,0,0,58391,11,31122,2070,761097910,1.28,1.28,40.08,47.44,38.59,1,761097910,1.28,1.28,40.08,47.44,38.59,3020,302020,30,30202010,2070
ADM,2018,76.2870921,74.60664336,73.42002999,83.08923191,A-,B+,B+,A-,ARCHER-DANIELS-MIDLAND CO,-2106,927,0,0,-6697,8465,40833,33.9553,0,842,18981,18981,14940,6509,1985,1346,1815,5,0,101,1341,59219,567,716.1,559,564,9.495,7860,10.976,0,0,1810,690,1762,30,7698,0,758,758,0,758,2020,31.6,3.19,3.19,3.21,3.21,0,0,0,33,187,210,5122,1810,1810,1815,1810,26743,194,6582,1247,40833,21788,49,1810,1810,674,108,-4784,2020,3.51,3.49,2060,0,0,0,0,0,0,0,16421,3844,64341,64341,18981,-249,109,18996,5300,5300,157.1,0,0,-881,376,245,0,0,61380,11,31122,2070,930926047,1.34,1.34,40.97,52.065,39.16,1,930926047,1.34,1.34,40.97,52.065,39.16,3020,302020,30,30202010,2070
ADM,2019,80.70949497,78.34081827,79.40716325,85.56517914,A-,A-,A-,A,ARCHER-DANIELS-MIDLAND CO,-2405,960,0,0,-8004,9052,43997,34.4847,0,828,19208,19208,13732,5310,-853,1082,1379,2,0,-48,1080,59517,565,715.8,557,563,9.148,8055,11.25,0,0,1379,1424,8,626,8453,0,789,789,0,789,1671,38.1,2.44,2.44,2.45,2.45,0,0,0,-22,-660,106,5139,1379,1379,1379,1379,27736,288,5259,1333,43997,24714,58,1379,1379,654,1202,-5452,1671,2.99,2.99,1588,0,0,0,0,0,0,0,16553,4665,64656,64656,19208,-274,89,19225,5400,5400,158.8,0,0,-1020,268,209,0,0,61993,11,31122,2070,847516456,1.4,1.4,46.35,47.2,36.45,1,847516456,1.4,1.4,46.35,47.2,36.45,3020,302020,30,30202010,2070
ADM,2020,84.0266199,80.20126246,84.58085821,87.27691247,A,A-,A,A,ARCHER-DANIELS-MIDLAND CO,-2604,1054,0,0,-2940,11172,49719,35.9712,0,823,20000,20000,14587,6556,1656,1590,1782,17,0,-97,1573,59017,563,716,556,561,8.858,8024,11.21,0,0,1772,2305,1791,2136,8748,0,809,809,0,809,1683,39.088,3.15,3.15,3.16,3.16,0,0,0,27,-423,755,5338,1772,1772,1782,1772,28844,701,4465,1391,49719,29623,74,1772,1772,903,2042,-2386,1683,3.63,3.63,1883,0,0,0,0,0,0,0,17476,4883,64355,64355,20000,-350,151,20022,5500,5500,160,0,0,-1042,195,101,0,0,61696,11,31122,2070,759517682,1.44,1.44,50.41,52.05,28.92,1,759517682,1.44,1.44,50.41,52.05,28.92,3020,302020,30,30202010,2070
ADM,2021,83.92213277,79.45031068,86.16498083,84.96599405,A,A-,A,A,ARCHER-DANIELS-MIDLAND CO,-2172,1072,0,0,1625,15573,56136,40.1375,0,1169,22477,22477,15730,8959,2808,3167,2735,26,0,218,3141,78266,566,716.6,560,564,8.501,8094,11.3,0,0,2709,1805,1329,534,8776,0,834,834,0,834,3038,40.739,4.79,4.79,4.8,4.8,0,0,0,6,-1118,665,6983,2709,2709,2735,2709,31543,97,-2669,1233,56136,33369,259,2709,2709,765,958,6595,3038,5.09,5.08,3313,0,0,0,0,0,0,0,19783,5692,85249,85249,22477,-208,161,22508,5400,5400,156.6,0,0,-1086,553,578,0,0,81215,11,31122,2070,630885203,1.48,1.48,67.59,69.3,49.28,1,630885203,1.48,1.48,67.59,69.3,49.28,3020,302020,30,30202010,2070
ADSK,2014,79.205091,77.40078415,67.38890172,89.92143493,A-,A-,B+,A,AUTODESK INC,-0.6,218,0,0,45.7,84.5,4595,9.9757,1635.033,64.2,2261.5,2261.5,1147.3,2267.1,240.8,233.9,228.8,0,0,5.4,233.9,146.4,229.6,226.7,226.7,224,0.492,2.267,0.01,0,0,228.8,0,0,0,746.4,0,0,0,0,0,297.6,7.6,1,1,1.02,1.02,0,0,-2.2,0,-126.5,119.8,2127.5,228.8,228.8,228.8,228.8,3007.9,-18.6,-194,515.6,4595,2333.5,0,228.8,228.8,-4.9,0,563.5,297.6,1.06,1.03,279.9,0,0,0,0,0,0,0,624.2,423.7,2273.9,2273.9,2261.5,-12.8,132.2,2261.5,0,0,0,0,9.1,187.9,75.7,51.1,0,0,1848.4,14,511210,7372,741215845,0,0,50.319,50.5,33.005,1,750207133,0,0,51.25,54.18,33.005,4510,451030,45,45103010,7370
ADSK,2015,80.684154,74.66954023,71.05649234,90.77902456,A-,B+,B+,A,AUTODESK INC,-53.3,177.1,0,0,252,100.5,4913.8,9.7762,1770.83,75.5,2219.2,2219.2,591.1,2026.4,-442.4,29.1,81.8,0,0,-16,29.1,236.9,232.4,227,227,227.1,0.479,2.27,0.01,0,0,81.8,0,0,0,747.2,0,0,0,0,0,123.8,8.823,0.35,0.35,0.36,0.36,0,0,-5,-3.4,-239.9,184.4,2275.3,81.8,81.8,81.8,81.8,2966.4,-4,-905.6,547.3,4913.8,2694.6,0,81.8,81.8,-37.7,0,708.1,123.8,0.37,0.36,83,0,0,0,0,0,0,0,446.1,458.9,2512.2,2512.2,2219.2,-3.1,165.6,2219.2,0,0,0,0,0.5,185.1,63.4,1.2,0,0,2243.4,14,511210,7372,639584711,0,0,60.06,63,44.76,1,609016538,0,0,54.005,63,44.76,4510,451030,45,45103010,7370
ADSK,2016,82.31496324,75.19762062,74.29840908,91.35330987,A-,A-,B+,A,AUTODESK INC,-121.1,31.1,0,0,357.7,119.9,5515.3,7.2175,1819.256,72.4,1619.6,1619.6,-62.2,2250.9,-57.6,-398.3,-330.5,0,0,-4.6,-398.3,260.7,226,224.4,224.4,226,0.458,2.244,0.01,0,0,-330.5,0,748.3,0,1487.7,0,0,0,0,0,1.3,9.5,-1.46,-1.46,-1.46,-1.46,0,0,-5.3,-57.9,343.2,172.2,2243.4,-330.5,-330.5,-330.5,-330.5,3107.3,-44.5,-809.5,749.3,5515.3,3895.7,0,-330.5,-330.5,-21.6,0,414,1.3,-0.45,-0.45,-20.3,0,0,0,0,0,0,0,-201.9,653.6,2504.1,2504.1,1619.6,0,197.2,1619.6,0,0,0,0,0,-58.5,59.1,310.2,0,0,2359.6,14,511210,7372,659948276,0,0,60.93,65.78,42.06,1,691967161,0,0,46.82,65.78,42.06,4510,451030,45,45103010,7370
ADSK,2017,81.74825831,71.77869757,74.32872971,91.12816504,A-,B+,B+,A,AUTODESK INC,-178.5,91.3,0,0,253.5,93.5,4798.1,3.33,1874.097,76,733.6,733.6,-925,1899.9,-139.9,-639.5,-582.1,0,0,-5.5,-639.5,228.4,222.7,220.3,220.3,222.7,0.43,2.203,0.01,0,0,-582.1,398.7,0,0,1092,0,0,0,0,0,-419.1,9,-2.61,-2.61,-2.61,-2.61,0,0,-3.3,0,-578.3,294.6,1802.6,-582.1,-582.1,-582.1,-582.1,1825.6,-13.8,272,695.6,4798.1,4064.5,0,-582.1,-582.1,-24.2,0,169.7,-419.1,-2.37,-2.37,-523.8,0,0,0,0,0,0,0,-1142.7,452.3,2031,2031,733.6,-80.5,221.8,733.6,0,0,0,0,0,-27.6,77.7,58.3,0,0,2304.8,14,519130,7370,552936006,0,0,74.01,83.08,41.6,1,527111426,0,0,81.34,83.96,41.6,4510,451030,45,45103010,7370
ADSK,2018,80.23607909,67.56237047,74.78244663,88.73437518,A-,B+,B+,A,AUTODESK INC,-123.8,415.3,0,0,158.4,94.7,4113.6,-1.1727,1950.517,50.7,-256,-256,-1931.4,1323.2,-135.1,-512.2,-566.9,0,0,4.5,-512.2,219.4,219.5,218.3,218.3,219.5,0.388,2.183,0.01,0,0,-566.9,0,496.9,400,1586,0,0,0,0,0,-393.6,8.8,-2.58,-2.58,-2.58,-2.58,0,0,14.2,-5.8,-656.6,362.8,1837.2,-566.9,-566.9,-566.9,-566.9,1330,-12.2,506.4,593.8,4113.6,4369.6,0,-566.9,-566.9,-48.3,0,0.9,-393.6,-2.09,-2.09,-557.3,0,0,0,0,0,0,0,-2208.7,438.2,2056.6,2056.6,-256,-115.4,261.4,-256,0,0,0,0,0,15.1,84.5,9.6,0,0,2346,14,519130,7370,527423009,0,0,104.83,131.1,74.5,1,536270016,0,0,115.62,131.1,80.04,4510,451030,45,45103010,7370
ADSK,2019,82.28601728,73.19381475,76.0048928,90.42242412,A-,B+,A-,A,AUTODESK INC,-135,111.9,0,0,204.5,101.6,4729.2,-0.9613,2069.306,67,-210.9,-210.9,-2942.5,953.6,-192,-92,-80.8,0,0,13,-92,211.2,218.9,219.4,219.4,218.9,0.376,2.194,0.01,0,0,-80.8,0,500,0,2087.7,0,0,0,0,0,33,9.6,-0.37,-0.37,-0.37,-0.37,0,0,-10.6,-2.1,151.9,283.4,2358.6,-80.8,-80.8,-80.8,-80.8,1876.8,4,-710.4,471.4,4729.2,4940.1,0,-80.8,-80.8,-38.8,0,377.1,33,-0.24,-0.24,-42.7,0,0,0,0,0,0,0,-2282.4,474.3,2569.8,2569.8,-210.9,-36.9,249.5,-210.9,0,0,0,0,0,-14.5,78,38.1,0,0,2444.1,14,519130,7370,537980837,0,0,128.61,159.94,101.55,1,529142469,0,0,147.2,159.94,101.55,4510,451030,45,45103010,7370
ADSK,2020,81.65078477,73.48830717,76.14408854,88.84140535,A-,B+,A-,A,AUTODESK INC,-160.3,144.9,0,0,975.2,83.7,6179.3,-0.634,2314.806,53.2,-139.1,-139.1,-2791.2,1843.7,888.7,189.2,214.5,0,0,-6.5,189.2,238.6,222.5,219.4,219.4,219.7,0.352,2.194,0.01,0,0,214.5,497.8,498.9,500,2046.8,0,0,0,0,0,366.8,10.1,0.96,0.96,0.98,0.98,0,0,-2.3,-4.4,-466.8,351,3035.7,214.5,214.5,214.5,214.5,1907.7,-11.6,-57.3,969.9,6179.3,6318.4,0,214.5,214.5,-48.2,0,1415.1,366.8,1.06,1.05,294.8,0,0,0,0,0,0,0,-2456.1,652.3,3274.3,3274.3,-139.1,-23.8,362.4,-139.1,0,0,0,0,0,-26.1,60.3,80.3,0,0,2782.8,14,519130,7370,448216934,0,0,183.46,185.75,121.12,1,443362475,0,0,196.85,201.57,129.7,4510,451030,45,45103010,7370
ADSK,2021,80.14970278,74.15395688,76.40355772,85.17427369,A-,B+,A-,A,AUTODESK INC,-125.9,931.2,0,0,288,122.5,7279.8,4.3966,2576.704,91.1,965.5,965.5,-1940.3,1857.2,-2.5,1242.6,1208.2,0,0,1.5,1242.6,252.6,222.1,219.6,219.6,219.4,0.331,2.196,0.01,0,0,1208.2,71.4,0,450,2033.2,0,0,0,0,0,650.6,11.5,5.44,5.44,5.51,5.51,0,0,11,-2.5,-1046.8,437.2,3537.8,1208.2,1208.2,1208.2,1208.2,2998.7,-62.6,-403.9,1015,7279.8,6314.3,0,1208.2,1208.2,-82.4,0,1437.2,650.6,2.49,2.46,546.7,0,0,0,0,0,0,0,-1613.4,643.1,3790.4,3790.4,965.5,-21.5,399.8,965.5,0,0,0,0,0,751.7,92.8,-661.5,0,0,3018.5,14,519130,7370,424049396,0,0,305.34,307.22,125.38,1,426148845,0,0,277.43,321.13,125.38,4510,451030,45,45103010,7370
ADSK,2022,80.71584602,72.64092109,76.26504604,86.97095683,A-,B+,A-,A,AUTODESK INC,-124,1099.3,0,0,295.8,120.8,8606.8,3.8914,2920.918,56,849.1,849.1,-3248.5,1764.1,-243.8,498.9,497,0,0,4.7,498.9,313,222,218.2,218.2,219.7,0.316,2.182,0.01,0,0,497,436.3,997,0,2623.7,0,0,0,0,0,747.3,12.6,2.24,2.24,2.26,2.26,0,0,-11.9,-7.3,-168.6,676.7,4073.4,497,497,497,497,3472.8,-15,-1594.6,1095.2,8606.8,7757.7,0,497,497,-52.9,0,1531.3,747.3,2.4,2.37,564.7,0,0,0,0,0,0,0,-2074,716.1,4386.4,4386.4,849.1,-129.7,558.5,849.1,0,0,0,0,0,711.7,165.2,67.7,0,0,3493.6,14,519130,7370,339946200,0,0,281.19,344.39,245.05,1,343684363,0,0,249.79,344.39,226.4,4510,451030,45,45103010,7370
ADSK,2023,80.71584602,72.64092109,76.26504604,86.97095683,A-,B+,A-,A,AUTODESK INC,-185,1397,0,0,790,102,9438,5.3256,3322.85,40,1145,1145,-2887,2072,419,762,823,0,0,-3,762,372,218,215,215,216,0.312,2.15,0.01,0,0,823,85,0,350,2581,0,0,0,0,0,1032,13.7,3.78,3.78,3.81,3.81,0,0,-22,0,-1487,683,4633,823,823,823,823,3726,-60,-143,1680,9438,8293,0,823,823,-43,0,2071,1032,3.79,3.76,946,0,0,0,0,0,0,0,-2180,961,5005,5005,1145,-43,660,1145,0,0,0,0,0,982,241,123,0,0,3825,14,519130,7370,423732719,0,0,186.87,284.96,163.2,1,411796240,0,0,215.16,252.34,163.2,4510,451030,45,45103010,7370
ADP,2014,47.43657486,22.85104047,41.30773374,60.08984835,C+,D+,C,B,AUTOMATIC DATA PROCESSING,178.2,1485.3,0,0,9.5,169.7,32051.7,13.8905,545.2,216.6,6670.2,6670.2,2924.1,4015.8,284.5,1678.7,1515.9,0,0,78,1678.7,6885.2,483.1,638.7,480.2,478.9,554.549,63.9,0.1,0,0,1502.6,2175.8,0,3.3,11.5,13.3,883.1,903.3,0,903.3,2222.7,61,3.14,3.11,3.17,3.14,0,0,8,-2950.7,-2358.2,240.9,5321.3,1502.6,1502.6,1502.6,1502.6,6681.7,1055.6,813.3,1173.2,32051.7,25381.5,0,1515.9,1515.9,72.9,2173,1821.4,2222.7,3.17,3.14,2274.6,0,0,0,0,0,0,0,13811.1,1800.4,12206.5,12206.5,6670.2,-14.9,138.4,6670.2,7750,7750,158.5,0,0,-280.3,821.5,772,13.3,3,9647.6,14,518210,7374,432221172,1.92,1.93,83.37,86.54,70.498,1,443140673,1.83,1.875,79.28,83.82,68.75,2020,202020,20,20202010,7374
ADP,2015,55.54731622,25.70881226,53.8386182,65.97024627,B-,C-,B-,B,AUTOMATIC DATA PROCESSING,-260.6,1270.8,0,0,26.1,194.5,33110.5,10.3098,663.3,158.8,4808.5,4808.5,2511.8,1665.9,-344.3,1101.9,1452.5,0,0,-43.3,1101.9,6149.7,475.8,638.7,466.4,472.6,563.495,63.9,0.1,0,0,1376.5,2.5,0,2.3,9.2,76,927.6,927.1,0,927.1,2014,55,3.05,2.89,3.07,2.91,0,0,-106.3,6099.3,1616.7,426.1,4788.8,1376.5,1376.5,1376.5,1376.5,4817.7,-3593.4,-3760.3,1007,33110.5,28302,0,1452.5,1452.5,61.8,0,1905.6,2014,2.89,2.87,2070.7,0,0,0,0,0,0,0,13199.7,1546.9,10938.5,10938.5,4808.5,1.4,143.2,4808.5,9118.4,9118.4,172.3,0,68.4,-134.2,773.3,694.2,76,-5.7,8646.6,14,518210,7374,475512183,1.96,2,84.72,90.67,64.29,1,442768159,1.94,1.95,80.23,90.23,70.498,2020,202020,20,20202010,7374
